NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,LANDAREA_MEDI,LIVINGAREA_MEDI,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
Cash loans,F,Y,Y,0,225000,1320975,43785,1183500,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.018801,-10825,-1802,-4757,-2238,11,1,0,1,1,0,Sales staff,2,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.610856705,0.3488361733767661,0.6313545365850379,0.1113,0.0665,0.9836,0.12,0.1034,0.3333,0.1036,0.1158,0.1134,0.069,0.9836,0.1208,0.1034,0.3333,0.1059,0.1206,0.1124,0.0665,0.9836,0.12,0.1034,0.3333,0.1054,0.1179,block of flats,0.1197,Panel,No,0,0,0,0,-1266,0,0,0,0,1,2
Revolving loans,M,Y,Y,0,99000,180000,9000,180000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-8063,-261,-738,-735,10,1,0,1,0,0,Sales staff,2,2,2,MONDAY,12,0,0,0,0,0,0,Self-employed,0.1293264003461732,0.2916600497102669,0.2176285202779586,0.0289,0.0328,0.9727,0,0.1724,0.0833,0.0184,0.0313,0.0294,0.0341,0.9727,0,0.1724,0.0833,0.0189,0.0326,0.0291,0.0328,0.9727,0,0.1724,0.0833,0.0188,0.0319,block of flats,0.0246,Block,No,1,0,1,0,-390,0,0,0,0,2,0
Cash loans,F,Y,N,1,121500,225000,8469,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.02461,-15671,-214,-3132,-4087,11,1,0,1,1,0,Sales staff,3,2,2,FRIDAY,16,0,0,0,0,0,0,Trade: type 7,0.7578384487300267,0.6897335787474733,0.41184855592423975,0.133,0.1132,0.9791,0,0.2759,0.1667,0.0828,0.1199,0.1355,0.1174,0.9791,0,0.2759,0.1667,0.0847,0.1249,0.1343,0.1132,0.9791,0,0.2759,0.1667,0.0842,0.122,block of flats,0.1337,"Stone, brick",No,0,0,0,0,-3012,0,0,0,0,1,2
Cash loans,F,Y,Y,2,184500,1078200,31522.5,900000,"Spouse, partner",Working,Higher education,Married,House / apartment,0.020246,-10598,-854,-558,-630,6,1,0,1,0,0,High skill tech staff,4,3,3,TUESDAY,9,0,0,0,0,1,1,Industry: type 2,0.2913389437488164,0.4726019397886651,0.4830501881366946,0.066,0.0799,0.9771,0,0.1379,0.1667,0.0375,0.0508,0.0672,0.0829,0.9772,0,0.1379,0.1667,0.0383,0.0529,0.0666,0.0799,0.9771,0,0.1379,0.1667,0.0381,0.0517,block of flats,0.0499,"Stone, brick",No,0,0,0,0,-1823,0,0,0,0,0,0
Cash loans,F,Y,Y,1,157500,1218375,51750,1089000,Family,Working,Secondary / secondary special,Married,House / apartment,0.031329,-13879,-2930,-3439,-4395,4,1,0,1,1,1,High skill tech staff,3,2,2,THURSDAY,7,0,0,0,0,0,0,Industry: type 7,0.7864997083569245,0.5496953558012253,0.6161216908872079,0.0619,0.0486,0.9767,0,0.1379,0.1667,0.0545,0.0521,0.063,0.0505,0.9767,0,0.1379,0.1667,0.0558,0.0543,0.0625,0.0486,0.9767,0,0.1379,0.1667,0.0555,0.053,block of flats,0.0513,Block,No,5,0,5,0,-1760,0,0,0,0,0,4
Cash loans,M,Y,N,2,202500,938304,50121,810000,Unaccompanied,Commercial associate,Incomplete higher,Married,Municipal apartment,0.04622,-16290,-4752,-8870,-3060,3,1,0,1,0,0,Drivers,4,1,1,WEDNESDAY,14,0,0,0,0,1,1,Business Entity Type 3,0.3655238490112184,0.7772283250141669,0.5226973172821112,0.0773,0.073,0.9771,0,0.1724,0.1667,0.013,0.0622,0.0788,0.0758,0.9772,0,0.1724,0.1667,0.0133,0.0648,0.0781,0.073,0.9771,0,0.1724,0.1667,0.0132,0.0633,block of flats,0.0494,Panel,No,0,0,0,0,-363,0,0,0,1,1,1
Revolving loans,M,Y,Y,0,135000,180000,9000,180000,Unaccompanied,Working,Higher education,Married,House / apartment,0.018634,-10630,-1335,-10599,-3290,13,1,0,1,0,0,Managers,2,2,2,FRIDAY,12,0,0,0,0,0,0,Emergency,0.2336197391621328,0.7196353216607445,0.5567274263630174,0.1485,0.0523,0.9856,0.16,0.1379,0.3333,0.1757,0.1526,0.1513,0.0543,0.9856,0.1611,0.1379,0.3333,0.1797,0.159,0.1499,0.0523,0.9856,0.16,0.1379,0.3333,0.1787,0.1554,block of flats,0.1416,Panel,No,0,0,0,0,-679,0,0,0,0,0,0
Cash loans,M,Y,N,0,112500,277969.5,10606.5,229500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009175,-20438,-2271,-10241,-3991,17,1,0,1,0,0,Laborers,2,2,2,FRIDAY,16,0,1,1,0,0,0,Business Entity Type 3,0.7225586336979379,0.6398491482876816,0.5567274263630174,0.0093,0,0.9732,0,0.069,0,0.019,0.0045,0.0095,0,0.9732,0,0.069,0,0.0194,0.0047,0.0094,0,0.9732,0,0.069,0,0.0193,0.0046,block of flats,0.0035,Wooden,Yes,1,1,1,1,-1643,0,0,0,0,0,3
Cash loans,M,Y,N,0,270000,1098000,28962,1098000,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,-11809,-1901,-5293,-4495,2,1,0,1,0,0,Managers,2,2,2,WEDNESDAY,9,0,0,0,0,0,0,Business Entity Type 3,0.3660180465775925,0.6912010832234691,0.6832688314232291,0.1429,0.1072,0.9851,0.104,0.1034,0.325,0.0581,0.1382,0.0756,0.042,0.9861,0.1611,0.1034,0.3333,0,0.0586,0.1124,0.1091,0.9861,0.12,0.1034,0.3333,0.0624,0.1717,block of flats,0.1707,Panel,No,0,0,0,0,-401,0,0,0,1,0,1
Revolving loans,M,Y,Y,2,540000,900000,45000,900000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018801,-12643,-770,-83,-4126,13,1,0,1,0,0,Managers,4,2,2,MONDAY,10,0,0,0,0,0,0,Self-employed,0.5154758594581931,0.19349746321399447,0.4241303111942548,0.2495,0.1257,0.994,0.24,0.2069,0.375,0.3106,0.2564,0.2542,0.1305,0.994,0.2417,0.2069,0.375,0.3177,0.2671,0.2519,0.1257,0.994,0.24,0.2069,0.375,0.316,0.261,block of flats,0.2683,Panel,No,0,0,0,0,-457,0,0,0,0,0,0
